Failure category,Category type,SDR keyword,Occurrence count,Observation period,Start year,End year,Observation years,Window-adjusted count,O_window_adjusted,O_raw,S,D,Baseline_window,Baseline_raw,Scoring rationale
Stall event,Event-level,stall,906,1986-2024,1986,2024,39,23.23076923076923,0.4527736131934033,1.0,9,5,20.37481259370315,45.0,"Unstable flow or combustion manifestation with possible surge, thrust loss, shutdown or secondary damage; manifestation is evident but precursors may be incompletely represented in narrative SDR data."
Fan blade issue,Component/system-level,fan blade,667,2012-2024,2012,2024,13,51.30769230769231,1.0,0.7362030905077263,10,7,70.0,51.53421633554084,Fan-blade damage can have catastrophic downstream consequences; precursor fatigue or damage may require targeted inspection and may be difficult to identify before manifestation.
Vibration issue,Condition/symptom-level,vibration,363,1986-2024,1986,2024,39,9.307692307692308,0.18140929535232386,0.40066225165562913,7,3,3.809595202398801,8.41390728476821,"Abnormal vibration can indicate rotating-system distress but is generally observable through cockpit indications, monitoring systems or maintenance diagnostics."
Compressor issue,Component/system-level,compressor,297,1986-2024,1986,2024,39,7.615384615384615,0.14842578710644677,0.32781456953642385,8,6,7.124437781109445,15.735099337748345,"Compressor anomalies may cause performance loss, stall or surge, shutdown or secondary damage; underlying conditions may require diagnostics or inspection."
Fuel pump failure,Component/system-level,fuel pump,239,1990-2024,1990,2024,35,6.828571428571428,0.13309059755836367,0.26379690949227375,7,5,4.658170914542729,9.232891832229582,Fuel-delivery component failure may impair thrust availability or dispatch reliability; detection may require pressure or flow indications and troubleshooting.
Fuel leak,Condition/symptom-level,fuel leak,195,1993-2024,1993,2024,32,6.09375,0.11876874062968516,0.2152317880794702,8,4,3.800599700149925,6.887417218543046,"Fuel leakage is safety-significant because of flammable-fluid exposure, although many leaks are externally observable or inspection-detectable."
Sensor fault,Component/system-level,sensor,188,1990-2024,1990,2024,35,5.371428571428571,0.10469051188691368,0.20750551876379691,5,3,1.5703576783037052,3.1125827814569536,"Instrumentation or monitoring faults affect system awareness but are often indicated by built-in tests, cockpit messages or maintenance diagnostics."
Crack indication,Condition/symptom-level,crack,167,1986-2024,1986,2024,39,4.282051282051282,0.08345827086456771,0.18432671081677704,8,8,5.3413293353323335,11.79690949227373,"Cracking indicates structural or material degradation; growth may be hidden, localized or dependent on special inspection access."
Oil pressure issue,Condition/symptom-level,oil pressure,114,1986-2024,1986,2024,39,2.923076923076923,0.05697151424287856,0.12582781456953643,7,4,1.5952023988005997,3.52317880794702,Lubrication-pressure anomalies can lead to engine damage but are often indicated by warnings or maintenance indications.
Turbine issue,Component/system-level,turbine,104,1988-2024,1988,2024,37,2.810810810810811,0.05478341910126019,0.11479028697571744,9,7,3.4513554033793916,7.231788079470198,Hot-section distress may produce severe thermal or mechanical damage; direct inspection access is limited and degradation may progress between checks.
Oil leak,Condition/symptom-level,oil leak,101,1998-2024,1998,2024,27,3.740740740740741,0.07290799044921983,0.11147902869757174,6,4,1.749791770781276,2.6754966887417218,Lubrication leakage is operationally important but is often visible or identifiable during servicing or inspection.
Oil quantity issue,Condition/symptom-level,oil quantity,99,1987-2024,1987,2024,38,2.6052631578947367,0.05077724295746863,0.10927152317880795,5,3,0.7616586443620296,1.6390728476821192,"Oil-quantity discrepancies are maintenance-significant but are normally detectable through indications, servicing records or routine checks."
Engine shutdown,Event-level,engine shutdown,90,1999-2024,1999,2024,26,3.4615384615384617,0.06746626686656672,0.09933774834437085,8,5,2.6986506746626686,3.9735099337748343,An engine shutdown is a serious operational outcome rather than a single causal mechanism; the underlying precursor requires record-level causal coding.
Bearing failure,Component/system-level,bearing,84,1986-2024,1986,2024,39,2.1538461538461537,0.041979010494752625,0.09271523178807947,8,7,2.350824587706147,5.19205298013245,Bearing degradation can produce severe secondary damage and internal progression may be difficult to identify without targeted monitoring or inspection.
Fuel pressure issue,Condition/symptom-level,fuel pressure,1,2005,2005,2005,1,1.0,0.019490254872563718,0.0011037527593818985,6,4,0.46776611694152925,0.026490066225165563,Fuel-pressure anomalies may affect delivery or engine response and are normally moderately detectable through pressure indications and troubleshooting.
