Failure category,Category type,SDR keyword,Occurrence count,Observation period,O,S,D,RPN,Start year,End year,Observation years,Annualized count,O_period_adjusted,RPN_period_adjusted
Stall event,Event-level,stall,906,1986-2024,1.0,9,5,45.0,1986,2024,39,23.23076923076923,0.4527736131934033,20.37481259370315
Fan blade issue,Component/system-level,fan blade,667,2012-2024,0.7362030905077263,10,7,51.53421633554084,2012,2024,13,51.30769230769231,1.0,70.0
Vibration issue,Condition/symptom-level,vibration,363,1986-2024,0.4006622516556291,7,3,8.41390728476821,1986,2024,39,9.307692307692308,0.1814092953523238,3.809595202398801
Compressor issue,Component/system-level,compressor,297,1986-2024,0.3278145695364238,8,6,15.735099337748345,1986,2024,39,7.615384615384615,0.1484257871064467,7.124437781109445
Fuel pump failure,Component/system-level,fuel pump,239,1990-2024,0.2637969094922737,7,5,9.232891832229582,1990,2024,35,6.828571428571428,0.1330905975583636,4.658170914542729
Fuel leak,Condition/symptom-level,fuel leak,195,1993-2024,0.2152317880794702,8,4,6.887417218543046,1993,2024,32,6.09375,0.1187687406296851,3.800599700149925
Sensor fault,Component/system-level,sensor,188,1990-2024,0.2075055187637969,5,3,3.1125827814569536,1990,2024,35,5.371428571428571,0.1046905118869136,1.5703576783037052
Crack indication,Condition/symptom-level,crack,167,1986-2024,0.184326710816777,8,8,11.79690949227373,1986,2024,39,4.282051282051282,0.0834582708645677,5.3413293353323335
Oil pressure issue,Condition/symptom-level,oil pressure,114,1986-2024,0.1258278145695364,7,4,3.52317880794702,1986,2024,39,2.923076923076923,0.0569715142428785,1.5952023988005997
Turbine issue,Component/system-level,turbine,104,1988-2024,0.1147902869757174,9,7,7.231788079470198,1988,2024,37,2.810810810810811,0.0547834191012601,3.451355403379392
Oil leak,Condition/symptom-level,oil leak,101,1998-2024,0.1114790286975717,6,4,2.6754966887417218,1998,2024,27,3.740740740740741,0.0729079904492198,1.749791770781276
Oil quantity issue,Condition/symptom-level,oil quantity,99,1987-2024,0.1092715231788079,5,3,1.6390728476821192,1987,2024,38,2.6052631578947367,0.0507772429574686,0.7616586443620296
Engine shutdown,Event-level,engine shutdown,90,1999-2024,0.0993377483443708,8,5,3.9735099337748334,1999,2024,26,3.4615384615384617,0.0674662668665667,2.6986506746626686
Bearing failure,Component/system-level,bearing,84,1986-2024,0.0927152317880794,8,7,5.19205298013245,1986,2024,39,2.1538461538461537,0.0419790104947526,2.350824587706147
Fuel pressure issue,Condition/symptom-level,fuel pressure,1,2005,0.0011037527593818,6,4,0.0264900662251655,2005,2005,1,1.0,0.0194902548725637,0.4677661169415292
