Failure category,Occurrence count,Observation period,Observation years,Annualized count,O,O_period_adjusted,S,D,RPN,RPN_period_adjusted,CRITIC_period_adjusted_occurrence_weight,CRITIC_period_adjusted_severity_weight,CRITIC_period_adjusted_detection_weight,TOPSIS_period_adjusted_score,TOPSIS_period_adjusted_rank,VIKOR_period_adjusted_Q,VIKOR_period_adjusted_rank,RPN_period_adjusted_rank
Fan blade issue,667,2012-2024,13,51.30769230769231,0.7362030905077263,1.0,10,7,51.53421633554084,70.0,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.870619060953422,1,0.0,1,1
Crack indication,167,1986-2024,39,4.282051282051282,0.184326710816777,0.0834582708645677,8,8,11.79690949227373,5.3413293353323335,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.5489835904609999,2,0.5945999561990909,3,4
Turbine issue,104,1988-2024,37,2.810810810810811,0.1147902869757174,0.0547834191012601,9,7,7.231788079470198,3.451355403379392,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.5098117045502523,3,0.6343706571045112,5,8
Bearing failure,84,1986-2024,39,2.1538461538461537,0.0927152317880794,0.0419790104947526,8,7,5.19205298013245,2.350824587706147,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.4847583713532267,4,0.6707671001460758,6,10
Stall event,906,1986-2024,39,23.23076923076923,1.0,0.4527736131934033,9,5,45.0,20.37481259370315,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.4836167599091791,5,0.4749580820216688,2,2
Compressor issue,297,1986-2024,39,7.615384615384615,0.3278145695364238,0.1484257871064467,8,6,15.735099337748345,7.124437781109445,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.43825242415073473,6,0.6322352799394328,4,3
Engine shutdown,90,1999-2024,26,3.4615384615384617,0.0993377483443708,0.0674662668665667,8,5,3.9735099337748334,2.6986506746626686,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.3351227535226645,7,0.7390146474274197,8,9
Fuel pump failure,239,1990-2024,35,6.828571428571428,0.2637969094922737,0.1330905975583636,7,5,9.232891832229582,4.658170914542729,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.3109752442447122,8,0.714598975570544,7,5
Fuel leak,195,1993-2024,32,6.09375,0.2152317880794702,0.1187687406296851,8,4,6.887417218543046,3.800599700149925,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.2665566695611556,9,0.7432406441999215,9,7
Oil pressure issue,114,1986-2024,39,2.923076923076923,0.1258278145695364,0.0569715142428785,7,4,3.52317880794702,1.5952023988005997,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.2034286268534851,10,0.8176251626677895,10,12
Vibration issue,363,1986-2024,39,9.307692307692308,0.4006622516556291,0.1814092953523238,7,3,8.41390728476821,3.809595202398801,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.17846336647333697,11,0.9206902612854888,13,6
Oil leak,101,1998-2024,27,3.740740740740741,0.1114790286975717,0.0729079904492198,6,4,2.6754966887417218,1.749791770781276,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.15882969769752503,12,0.8317364841434691,11,11
Fuel pressure issue,1,2005,1,1.0,0.0011037527593818,0.0194902548725637,6,4,0.0264900662251655,0.4677661169415292,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.15255051612281223,13,0.8731555545322792,12,15
Sensor fault,188,1990-2024,35,5.371428571428571,0.2075055187637969,0.1046905118869136,5,3,3.1125827814569536,1.5703576783037052,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.05193537557810594,14,0.9891153985447516,14,13
Oil quantity issue,99,1987-2024,38,2.6052631578947367,0.1092715231788079,0.0507772429574686,5,3,1.6390728476821192,0.7616586443620296,0.3597098291568997,0.24047901632456337,0.39981115451853694,0.01933396580565665,15,1.0,15,14
