Failure category,Mean rank,Std. rank,Best rank,Worst rank,Top-1 frequency,Top-3 frequency,Top-5 frequency
Fan blade issue,1.0001,0.009999499987500202,1,2,0.9999,1.0,1.0
Crack indication,3.259,1.1879894780677722,2,10,0.0,0.6425,0.949
Stall event,3.5821,1.6491996816637728,2,10,0.0,0.5511,0.8372
Turbine issue,3.7169,1.313755833478934,1,9,0.0001,0.4839,0.893
Bearing failure,4.8155,1.4879044828214265,2,11,0.0,0.1983,0.6839
Compressor issue,5.4714,1.5876970869785003,2,11,0.0,0.1188,0.4855
Engine shutdown,7.5287,1.680350055791908,2,13,0.0,0.0047,0.0987
Fuel pump failure,8.4349,1.7345783320449226,2,13,0.0,0.0005,0.0323
Fuel leak,8.6879,1.721421967444361,3,15,0.0,0.0002,0.0198
Oil pressure issue,10.4986,1.7442471269863191,5,15,0.0,0.0,0.0004
Vibration issue,11.1785,1.6986576317788893,5,15,0.0,0.0,0.0002
Oil leak,11.658,1.7502674081407659,6,15,0.0,0.0,0.0
Fuel pressure issue,12.0174,1.723571071931722,7,15,0.0,0.0,0.0
Sensor fault,13.952,1.0845718049072954,9,15,0.0,0.0,0.0
Oil quantity issue,14.199,0.9980976906094975,9,15,0.0,0.0,0.0
