Failure category,Category type,SDR keyword,Occurrence count,Observation period,Start year,End year,Observation years,Window-adjusted count,O_window_adjusted,O_raw,S,D,Baseline_window,Baseline_raw,Scoring rationale,Baseline_rank,TOPSIS_CRITIC_Dplus,TOPSIS_CRITIC_Dminus,TOPSIS_CRITIC_score,TOPSIS_CRITIC_rank,VIKOR_CRITIC_S,VIKOR_CRITIC_R,VIKOR_CRITIC_Q,VIKOR_CRITIC_rank,TOPSIS_Entropy_Dplus,TOPSIS_Entropy_Dminus,TOPSIS_Entropy_score,TOPSIS_Entropy_rank,VIKOR_Entropy_S,VIKOR_Entropy_R,VIKOR_Entropy_Q,VIKOR_Entropy_rank,TOPSIS_Equal_Dplus,TOPSIS_Equal_Dminus,TOPSIS_Equal_score,TOPSIS_Equal_rank,VIKOR_Equal_S,VIKOR_Equal_R,VIKOR_Equal_Q,VIKOR_Equal_rank
Stall event,Event-level,stall,906,1986-2024,1986,2024,39,23.23076923076923,0.4527736131934033,1.0,9,5,20.37481259370315,45.0,"Unstable flow or combustion manifestation with possible surge, thrust loss, shutdown or secondary damage; manifestation is evident but precursors may be incompletely represented in narrative SDR data.",2,0.31648316964228035,0.2964011090702077,0.4836167599091791,5,0.4887379816675767,0.23988669271112217,0.4749580820216688,2,0.3544047466785088,0.3013915665757633,0.4595810627238227,2,0.5099883404170347,0.3120863602732869,0.5004160590685225,2,0.2811642555731751,0.3325444158200397,0.5418603831441909,2,0.45270132517838935,0.19999999999999998,0.45918819756776164,2
Fan blade issue,Component/system-level,fan blade,667,2012-2024,2012,2024,13,51.30769230769231,1.0,0.7362030905077263,10,7,70.0,51.53421633554084,Fan-blade damage can have catastrophic downstream consequences; precursor fatigue or damage may require targeted inspection and may be difficult to identify before manifestation.,1,0.07996223090370735,0.5380749505617973,0.870619060953422,1,0.07996223090370738,0.07996223090370738,0.0,1,0.054870025583854565,0.623357152334875,0.9190978666584347,1,0.05487002558385455,0.05487002558385455,0.0,1,0.06666666666666665,0.5416025603090641,0.8903994091594468,1,0.06666666666666665,0.06666666666666665,0.0,1
Vibration issue,Condition/symptom-level,vibration,363,1986-2024,1986,2024,39,9.307692307692308,0.18140929535232386,0.40066225165562913,7,3,3.809595202398801,8.41390728476821,"Abnormal vibration can indicate rotating-system distress but is generally observable through cockpit indications, monitoring systems or maintenance diagnostics.",6,0.5204352356342521,0.11305475665026277,0.17846336647333694,11,0.8444067703066499,0.399811154518537,0.9206902612854887,13,0.5506262486674718,0.11384506893053233,0.1713318030672424,10,0.8410728318197005,0.4668469937238757,0.8323741513445018,8,0.4780742855368398,0.14424917938601034,0.23179132318896734,11,0.8116207951070336,0.3333333333333333,0.9036829542712442,12
Compressor issue,Component/system-level,compressor,297,1986-2024,1986,2024,39,7.615384615384615,0.14842578710644677,0.32781456953642385,8,6,7.124437781109445,15.735099337748345,"Compressor anomalies may cause performance loss, stall or surge, shutdown or secondary damage; underlying conditions may require diagnostics or inspection.",3,0.36390624124264415,0.2839047273983523,0.43825242415073473,6,0.5685246049750368,0.3124085366377966,0.6322352799394324,4,0.5023342142401142,0.20610358897714293,0.2909268647736702,6,0.6619815364047537,0.48565767845267654,0.75445632413545,4,0.3454939951183652,0.2862190008176849,0.45308392048128704,6,0.5561671763506625,0.2895005096839959,0.6830687302073711,4
Fuel pump failure,Component/system-level,fuel pump,239,1990-2024,1990,2024,35,6.828571428571428,0.13309059755836367,0.26379690949227375,7,5,4.658170914542729,9.232891832229582,Fuel-delivery component failure may impair thrust availability or dispatch reliability; detection may require pressure or flow indications and troubleshooting.,5,0.4236866347990152,0.1912210753522448,0.31097524424471223,8,0.7022085071575568,0.3180344046516966,0.7145989755705435,7,0.5305717499805795,0.14378326892058774,0.21321598400035108,7,0.7588892123066504,0.49440342537853466,0.8153804939580171,6,0.40848041899145626,0.19247602483922394,0.3202828205191093,9,0.6947138488422892,0.2947138488422892,0.7679207531499823,7
Fuel leak,Condition/symptom-level,fuel leak,195,1993-2024,1993,2024,32,6.09375,0.11876874062968516,0.2152317880794702,8,4,3.800599700149925,6.887417218543046,"Fuel leakage is safety-significant because of flammable-fluid exposure, although many leaks are externally observable or inspection-detectable.",7,0.4648350537519884,0.16893586550071188,0.2665566695611556,9,0.7393290515806319,0.32328852143597697,0.7432406441999213,9,0.5524335190001216,0.1272462132932332,0.18721495911593963,9,0.788635171994808,0.5025712628750217,0.8395176047672823,9,0.4226566937460352,0.2135030443563686,0.3356123180527351,8,0.6995826962283385,0.29958269622833844,0.7796882201507938,8
Sensor fault,Component/system-level,sensor,188,1990-2024,1990,2024,35,5.371428571428571,0.10469051188691368,0.20750551876379691,5,3,1.5703576783037052,3.1125827814569536,"Instrumentation or monitoring faults affect system awareness but are often indicated by built-in tests, cockpit messages or maintenance diagnostics.",13,0.5705792329603087,0.03125656837890229,0.051935375578105965,14,0.9687434316210977,0.399811154518537,0.9891153985447516,14,0.6030665673337526,0.048590197305954416,0.07456409561376891,14,0.9514098026940456,0.5106001578138528,0.9352470188871098,13,0.5611261354770293,0.02896461336828309,0.04908501518615731,14,0.9710353866317167,0.3333333333333333,0.9900680762590328,14
Crack indication,Condition/symptom-level,crack,167,1986-2024,1986,2024,39,4.282051282051282,0.08345827086456771,0.18432671081677704,8,8,5.3413293353323335,11.79690949227373,"Cracking indicates structural or material degradation; growth may be hidden, localized or dependent on special inspection access.",4,0.3497311228028186,0.425697698424088,0.5489835904609999,2,0.4324341277702708,0.33624252124044546,0.5945999561990906,3,0.5269327570017015,0.29423466393719794,0.3583126369051251,3,0.5892928339452888,0.5227090271609207,0.7519959746666,3,0.3389160984538953,0.3893379279233831,0.5346182977664489,3,0.4449201495073054,0.3115868161739721,0.6641969390995736,3
Oil pressure issue,Condition/symptom-level,oil pressure,114,1986-2024,1986,2024,39,2.923076923076923,0.05697151424287856,0.12582781456953643,7,4,1.5952023988005997,3.52317880794702,Lubrication-pressure anomalies can lead to engine damage but are often indicated by warnings or maintenance indications.,12,0.49275768281853227,0.1258405990555747,0.20342862685348512,10,0.8100957868341698,0.34595945342460227,0.8176251626677893,10,0.5893990092106123,0.0888878333794353,0.13104755657653022,11,0.8571703895308673,0.5378145770188971,0.9114137047314889,11,0.46248227000249315,0.1496147831333336,0.24442983733844817,10,0.7872579001019369,0.32059123343527013,0.8665895155843206,10
Turbine issue,Component/system-level,turbine,104,1988-2024,1988,2024,37,2.810810810810811,0.05478341910126019,0.11479028697571744,9,7,3.4513554033793916,7.231788079470198,Hot-section distress may produce severe thermal or mechanical damage; direct inspection access is limited and degradation may progress between checks.,8,0.3590977204008131,0.37347326045327084,0.5098117045502524,3,0.47482021223056725,0.3467621780619472,0.6343706571045111,5,0.5428696037017147,0.2575077877956311,0.3217329606398372,4,0.6272243892570429,0.5390624602810044,0.7886622925258678,5,0.33488077456458454,0.37731443108869334,0.5297907485105755,4,0.45466842989778766,0.32133509656445436,0.6877574573730243,5
Oil leak,Condition/symptom-level,oil leak,101,1998-2024,1998,2024,27,3.740740740740741,0.07290799044921983,0.11147902869757174,6,4,1.749791770781276,2.6754966887417218,Lubrication leakage is operationally important but is often visible or identifiable during servicing or inspection.,11,0.5049668163220489,0.09534778696320685,0.15882969769752506,12,0.8523451340469799,0.3401129973724995,0.8317364841434689,11,0.58775523778383,0.07104331623695534,0.10783769302977841,12,0.8813736287527385,0.5287259128485843,0.915453467689074,12,0.491484023703911,0.09601390062722692,0.16342849336282855,12,0.8485068146637973,0.31517348133046397,0.8896213850997554,11
Oil quantity issue,Condition/symptom-level,oil quantity,99,1987-2024,1987,2024,38,2.6052631578947367,0.05077724295746863,0.10927152317880795,5,3,0.7616586443620296,1.6390728476821192,"Oil-quantity discrepancies are maintenance-significant but are normally detectable through indications, servicing records or routine checks.",14,0.5821894550423667,0.011477945216538766,0.01933396580565666,15,0.9885220547834612,0.399811154518537,1.0,15,0.6293119739034656,0.017843149509496503,0.027571673102726017,15,0.9821568504905035,0.5413472056103107,0.9823097062873563,15,0.5712754129099771,0.010636300230699072,0.018278202673208205,15,0.9893636997693009,0.3333333333333333,1.0,15
Engine shutdown,Event-level,engine shutdown,90,1999-2024,1999,2024,26,3.4615384615384617,0.06746626686656672,0.09933774834437085,8,5,2.6986506746626686,3.9735099337748343,An engine shutdown is a serious operational outcome rather than a single causal mechanism; the underlying precursor requires record-level causal coding.,9,0.4287624711257744,0.21611216309798859,0.3351227535226645,7,0.6781876474605065,0.342109348219559,0.7390146474274195,8,0.5606891723126429,0.1508862499169049,0.2120453365915024,8,0.7630232426865741,0.5318293591506423,0.8547149134544436,10,0.39784625516840627,0.24092278891813892,0.3771672894115653,7,0.6503567787971457,0.31702344546381245,0.7857146083230754,9
Bearing failure,Component/system-level,bearing,84,1986-2024,1986,2024,39,2.1538461538461537,0.041979010494752625,0.09271523178807947,8,7,2.350824587706147,5.19205298013245,Bearing degradation can produce severe secondary damage and internal progression may be difficult to identify without targeted monitoring or inspection.,10,0.37305580893904283,0.3509846959379288,0.4847583713532268,4,0.5276134411510539,0.3514596037175212,0.6707671001460753,6,0.553135348857787,0.24147704943664366,0.30389287903757106,5,0.6678187206274838,0.5463648882592612,0.817790930716074,7,0.358182835118659,0.33342099680530546,0.4820982496261849,5,0.5256880733944954,0.3256880733944954,0.7344041008171164,6
Fuel pressure issue,Condition/symptom-level,fuel pressure,1,2005,2005,2005,1,1.0,0.019490254872563718,0.0011037527593818985,6,4,0.46776611694152925,0.026490066225165563,Fuel-pressure anomalies may affect delivery or engine response and are normally moderately detectable through pressure indications and troubleshooting.,15,0.5183683977605174,0.09331218925089586,0.15255051612281226,13,0.87194196583138,0.35970982915689964,0.873155554532279,12,0.6153039751893156,0.06417998550208132,0.0944540110067883,13,0.9118380710239615,0.5591903551198072,0.9620835875277205,14,0.5033222956847166,0.09428090415820634,0.15776505912784203,13,0.8666666666666667,0.3333333333333333,0.9335117439957205,13
