Failure category,O_window_adjusted,Window_TOPSIS_score,Window_TOPSIS_rank,Window_VIKOR_Q,Window_VIKOR_rank,O_raw,Raw_TOPSIS_score,Raw_TOPSIS_rank,Raw_VIKOR_Q,Raw_VIKOR_rank,TOPSIS_rank_shift_raw_minus_window,VIKOR_rank_shift_raw_minus_window
Fan blade issue,1.0,0.870619060953422,1,0.0,1,0.7362030905077263,0.788562657650105,1,0.0,1,0,0
Crack indication,0.08345827086456771,0.5489835904609999,2,0.5945999561990906,3,0.18432671081677704,0.5673019192573405,3,0.4967826114875495,4,1,1
Turbine issue,0.05478341910126019,0.5098117045502524,3,0.6343706571045111,5,0.11479028697571744,0.5114284524530373,4,0.5811468628894609,5,1,0
Bearing failure,0.041979010494752625,0.4847583713532268,4,0.6707671001460753,6,0.09271523178807947,0.48585609994172185,6,0.6292496278092953,7,2,1
Stall event,0.4527736131934033,0.4836167599091791,5,0.4749580820216688,2,1.0,0.6497822283935523,2,0.2977967523029971,2,-3,0
Compressor issue,0.14842578710644677,0.43825242415073473,6,0.6322352799394324,4,0.32781456953642385,0.4881550356751127,5,0.47114380251223914,3,-1,-1
Engine shutdown,0.06746626686656672,0.3351227535226645,7,0.7390146474274195,8,0.09933774834437085,0.32990082249968095,8,0.725337279512132,9,1,1
Fuel pump failure,0.13309059755836367,0.31097524424471223,8,0.7145989755705435,7,0.26379690949227375,0.3465126308038054,7,0.6075386585077178,6,-1,-1
Fuel leak,0.11876874062968516,0.2665566695611556,9,0.7432406441999213,9,0.2152317880794702,0.28218770048506253,9,0.7036365665989645,8,0,-1
Oil pressure issue,0.05697151424287856,0.20342862685348512,10,0.8176251626677893,10,0.12582781456953643,0.21094475538612797,11,0.7812356050591585,10,1,0
Vibration issue,0.18140929535232386,0.17846336647333694,11,0.9206902612854887,13,0.40066225165562913,0.2699580663481137,10,0.8716242541576535,12,-1,-1
Oil leak,0.07290799044921983,0.15882969769752506,12,0.8317364841434689,11,0.11147902869757174,0.16771615472463883,12,0.8224667149407106,11,0,0
Fuel pressure issue,0.019490254872563718,0.15255051612281226,13,0.873155554532279,12,0.0011037527593818985,0.14716226399776935,13,0.9206332154876029,13,0,1
Sensor fault,0.10469051188691368,0.051935375578105965,14,0.9891153985447516,14,0.20750551876379691,0.1260853840907285,14,0.9759171339253496,14,0,0
Oil quantity issue,0.05077724295746863,0.01933396580565666,15,1.0,15,0.10927152317880795,0.06779833586816345,15,1.0,15,0,0
